,ts_3,ts_4,len_captured,len_original,total_length,fragment_offset,tcp_seq_no,tcp_ack_no,tcp_data_off,tcp_window
52,1742907656.0000000516,806275.0169733148958,66.00000046278192313,66.00000046278192313,32.000001680632990594,63.999999994651363164,1567880377.6089376551,4226581649.087467146,7.9999999547234296768,5839.999753249341776
53,1742907733.0000046765,979874.98897759843004,66.00000046278192313,66.00000046278192313,32.000001680632990594,63.999999994651363164,2786365013.0856771653,3779339015.6788683082,7.9999999547234296768,5839.999753249341776
54,1742907736.0000006895,970259.0161052570984,66.00000046278192313,66.00000046278192313,32.000001680632990594,63.999999994651363164,2786365013.0856771653,3779339015.6788683082,7.9999999547234296768,5839.999753249341776
55,1742907742.0000043836,970058.0027874663128,66.00000046278192313,66.00000046278192313,32.000001680632990594,63.999999994651363164,2786365013.0856771653,3779339015.6788683082,7.9999999547234296768,5839.999753249341776
56,1742907803.9999997731,5492.9868058129321184,66.00000046278192313,66.00000046278192313,32.000001680632990594,63.999999994651363164,3891809586.408654146,2041062068.0564208976,7.9999999547234296768,5839.999753249341776
57,1742907872.000010525,51972.988506989236754,66.00000046278192313,66.00000046278192313,32.000001680632990594,63.999999994651363164,651248117.3623805479,1353720439.278531595,7.9999999547234296768,5839.999753249341776
58,1742907931.0000099016,767096.00308766003303,66.00000046278192313,66.00000046278192313,32.000001680632990594,63.999999994651363164,1588671474.8549836448,1128608897.4286720834,7.9999999547234296768,5839.999753249341776
59,1742908001.99999333,552872.99825264186234,66.00000046278192313,66.00000046278192313,32.000001680632990594,63.999999994651363164,2712474537.954475594,1327618211.3345826593,7.9999999547234296768,5839.999753249341776
60,1742908062.9999978273,323354.99929835661194,66.00000046278192313,66.00000046278192313,32.000001680632990594,63.999999994651363164,3658757095.638443558,3329543884.625018924,7.9999999547234296768,5839.999753249341776
61,1742908126.0000074455,199153.00248118040432,66.00000046278192313,66.00000046278192313,32.000001680632990594,63.999999994651363164,346956365.9525591163,974831647.1592509863,7.9999999547234296768,5839.999753249341776
62,1742908186.9999886063,6132.9868292370464644,66.00000046278192313,66.00000046278192313,32.000001680632990594,63.999999994651363164,1297879506.6577189923,377337667.17275779543,7.9999999547234296768,5839.999753249341776
63,1742908248.9999839958,849275.0013723688371,66.00000046278192313,66.00000046278192313,32.000001680632990594,63.999999994651363164,2278261054.6580313356,1093063677.6940723892,7.9999999547234296768,5839.999753249341776
64,1742908308.999997601,736335.00582612152874,66.00000046278192313,66.00000046278192313,32.000001680632990594,63.999999994651363164,3233693183.6886225734,3726165559.021790033,7.9999999547234296768,5839.999753249341776
65,1742907584.9999991208,676575.0036388948514,54.000000843113967024,54.000000843113967024,20.000000970508224125,63.999999994651363164,2553190704.1288798866,298445882.44664227858,5.0000000154193654637,-0.0003508984923108471321
66,1742907584.9999991208,676575.0036388948514,54.000000843113967024,54.000000843113967024,20.000000970508224125,63.999999994651363164,2553190704.1288798866,298445882.44664227858,5.0000000154193654637,-0.0003508984923108471321
67,1742907584.9999991208,676575.0036388948514,54.000000843113967024,54.000000843113967024,20.000000970508224125,63.999999994651363164,2553190704.1288798866,298445882.44664227858,5.0000000154193654637,-0.0003508984923108471321
68,1742907644.9999995993,776515.99484505684535,54.000000843113967024,54.000000843113967024,20.000000970508224125,63.999999994651363164,2636989696.876404404,1390926248.2383778358,5.0000000154193654637,254.99919436072813461
69,1742907656.0000000516,807141.0024064699702,54.000000843113967024,54.000000843113967024,20.000000970508224125,63.999999994651363164,2636990180.355697833,1390926248.2383778358,5.0000000154193654637,-0.0003508984923108471321
70,1742907656.0000000516,917559.00558905081164,54.000000843113967024,54.000000843113967024,20.000000970508224125,63.999999994651363164,4226581657.6305595424,1567880362.148311914,5.0000000154193654637,254.99919436072813461
71,1742907665.9999994021,972773.98399464328236,54.000000843113967024,54.000000843113967024,20.000000970508224125,63.999999994651363164,4226581657.6305595424,1567880362.148311914,5.0000000154193654637,-0.0003508984923108471321
72,1742907733.9999955687,89366.995886780127506,54.000000843113967024,54.000000843113967024,20.000000970508224125,63.999999994651363164,3779338914.0996915665,2786365048.9269395575,5.0000000154193654637,254.99919436072813461
73,1742907743.9999978362,207379.98431942980213,54.000000843113967024,54.000000843113967024,20.000000970508224125,63.999999994651363164,3779339509.151129633,2786365048.9269395575,5.0000000154193654637,-0.0003508984923108471321
74,1742907803.9999997731,116293.98699682973722,54.000000843113967024,54.000000843113967024,20.000000970508224125,63.999999994651363164,2041062064.1626378451,3891809584.539968038,5.0000000154193654637,254.99919436072813461
75,1742907872.000010525,171064.99801820383752,54.000000843113967024,54.000000843113967024,20.000000970508224125,63.999999994651363164,1353720398.0901919038,651248185.47559801745,5.0000000154193654637,254.99919436072813461
76,1742907931.0000099016,880395.9986470834057,54.000000843113967024,54.000000843113967024,20.000000970508224125,63.999999994651363164,1128608943.1424094638,1588671507.9296237701,5.0000000154193654637,254.99919436072813461
77,1742907940.9999888326,884686.0116851634783,54.000000843113967024,54.000000843113967024,20.000000970508224125,63.999999994651363164,1128609017.5238392222,1588671507.9296237701,5.0000000154193654637,-0.0003508984923108471321
78,1742908001.99999333,665834.99465843206167,54.000000843113967024,54.000000843113967024,20.000000970508224125,63.999999994651363164,1327618243.6151124932,2712474535.2397059707,5.0000000154193654637,254.99919436072813461
79,1742908062.9999978273,434181.0016371326392,54.000000843113967024,54.000000843113967024,20.000000970508224125,63.999999994651363164,3329543846.1880965508,3658757130.2452029076,5.0000000154193654637,254.99919436072813461
80,1742908126.0000074455,308776.99962353689435,54.000000843113967024,54.000000843113967024,20.000000970508224125,63.999999994651363164,974831585.157179727,346956313.2498484474,5.0000000154193654637,254.99919436072813461
